ID,sequence,timestamp
401285,"Created, Ready, Reserved, InProgress, Completed","2021-03-24 12:38:00, 2021-03-26 13:27:41, 2021-04-09 09:40:25, 2021-05-19 11:06:30, 2021-06-17 10:29:01"
553484,"Created, Ready, Reserved, InProgress, Completed","2021-04-16 15:08:00, 2021-04-19 07:55:40, 2021-04-20 17:32:08, 2021-06-02 14:38:57, 2021-12-05 12:15:07"
660156,"Created, Ready, Reserved, InProgress, Completed","2021-09-02 16:26:00, 2021-09-03 08:07:39, 2021-09-07 08:51:23, 2021-09-07 14:10:03, 2022-03-11 09:32:56"
284593,"Created, Ready, Reserved, InProgress, Completed","2020-11-27 11:03:00, 2020-11-29 14:19:07, 2020-12-10 10:09:15, 2020-12-10 15:10:12, 2021-02-26 13:30:11"
272159,"Created, Ready, Reserved, InProgress, Completed","2020-12-17 16:11:00, 2020-12-18 10:39:12, 2020-12-18 13:28:07, 2021-01-20 14:06:16, 2021-07-28 13:03:44"
783345,"Created, Ready, Reserved, Completed","2021-09-30 17:23:00, 2021-10-01 16:19:21, 2021-10-04 15:09:01, 2021-10-05 08:43:27"
269148,"Created, Ready, Reserved, InProgress, Completed","2020-10-23 17:34:00, 2020-10-26 15:53:40, 2020-11-12 18:20:00, 2020-12-03 14:56:05, 2021-05-06 08:26:47"
143375,"Created, Ready, Reserved, Completed","2020-09-22 16:32:00, 2020-09-23 09:31:00, 2020-10-05 08:15:21, 2020-11-17 10:26:40"
371769,"Created, Ready, Reserved, InProgress, Exited","2021-01-11 13:32:00, 2021-01-14 07:50:23, 2021-01-26 14:24:39, 2021-01-26 14:42:01, 2021-02-22 13:11:00"
616635,"Created, Ready, Reserved, InProgress, Completed","2021-07-01 19:09:00, 2021-07-02 08:33:50, 2021-07-14 08:27:00, 2021-07-22 15:52:45, 2021-07-23 08:56:11"
543078,"Created, Ready, Reserved, InProgress, Completed","2021-06-17 17:02:00, 2021-06-18 09:28:42, 2021-06-28 14:13:00, 2021-07-09 10:28:28, 2021-07-19 11:50:14"
877635,"Created, Ready, Reserved, InProgress, Completed","2020-01-14 15:39:00, 2020-01-15 07:40:19, 2020-01-28 13:31:22, 2020-01-30 14:37:18, 2020-02-18 12:16:50"
826706,"Created, Ready, Reserved, InProgress, Completed","2020-03-04 14:34:00, 2020-03-05 11:50:57, 2020-03-23 15:13:22, 2020-03-24 09:15:25, 2020-04-14 12:03:04"
189363,"Created, Ready, Reserved, Exited","2020-10-06 10:18:00, 2020-10-06 16:51:47, 2020-10-20 10:25:00, 2020-12-04 09:55:59"
816007,"Created, Ready, Reserved, Exited","2021-11-19 16:29:00, 2021-11-22 07:41:22, 2021-12-08 10:25:00, 2021-12-27 12:25:00"
668288,"Created, Ready, Reserved, InProgress, Completed","2021-07-24 11:06:00, 2021-07-26 07:58:56, 2021-08-11 09:26:51, 2021-08-18 07:52:45, 2021-11-24 14:01:38"
725181,"Created, Ready, Reserved, InProgress, Completed","2021-10-17 10:38:00, 2021-10-18 08:33:21, 2021-11-05 12:10:00, 2021-11-15 09:08:36, 2021-12-03 07:55:26"
737013,"Created, Ready, Reserved, InProgress, Completed","2021-10-19 16:05:00, 2021-10-20 09:29:40, 2021-11-01 14:55:13, 2021-11-01 14:59:16, 2021-12-08 11:54:05"
252454,"Created, Ready, Reserved, InProgress, Completed","2020-12-15 16:24:00, 2020-12-18 13:08:00, 2021-01-06 10:12:22, 2021-01-08 14:52:57, 2022-02-07 09:17:05"
147800,"Created, Ready, Reserved, InProgress, Completed","2020-08-24 09:58:00, 2020-08-25 14:33:36, 2020-09-09 14:34:04, 2020-09-11 15:04:52, 2021-05-07 13:57:22"
136299,"Created, Ready, Reserved, InProgress, Completed","2020-08-26 19:04:00, 2020-08-28 07:40:39, 2020-09-08 08:40:59, 2020-09-08 12:16:21, 2020-11-22 09:50:33"
477440,"Created, Ready, Reserved, InProgress, Completed","2021-03-31 21:52:00, 2021-04-01 12:16:42, 2021-04-13 14:25:18, 2021-04-14 15:07:04, 2021-05-12 11:17:37"
670380,"Created, Ready, Reserved, Exited","2021-08-26 10:25:00, 2021-08-27 20:50:24, 2021-09-13 09:33:07, 2021-09-30 09:43:00"
446379,"Created, Ready, Reserved, InProgress, Completed","2021-05-18 12:23:00, 2021-05-19 11:29:15, 2021-06-03 08:04:27, 2021-06-09 07:25:03, 2021-06-16 11:23:36"
426438,"Created, Ready, Reserved, InProgress, Completed","2021-03-02 20:55:00, 2021-03-03 22:14:54, 2021-03-22 09:22:43, 2021-03-23 21:22:57, 2021-06-25 13:00:50"
417590,"Created, Ready, Reserved, InProgress, Completed","2021-03-02 09:16:00, 2021-03-03 07:54:39, 2021-03-15 11:44:48, 2021-05-06 13:01:38, 2021-08-03 11:54:00"
190621,"Created, Ready, Reserved, InProgress, Completed","2020-10-21 17:49:00, 2020-10-22 11:54:42, 2020-11-02 10:09:35, 2020-11-04 14:00:02, 2020-11-18 11:29:26"
41290,"Created, Ready, Reserved, InProgress, Completed","2020-06-25 12:00:00, 2020-06-26 00:25:26, 2020-07-09 14:38:57, 2021-05-04 15:35:42, 2021-05-07 11:39:37"
658778,"Created, Ready, Reserved, InProgress, Completed","2021-08-04 15:18:00, 2021-08-05 13:37:57, 2021-08-09 12:48:29, 2021-08-23 14:54:41, 2022-02-17 13:55:24"
148342,"Created, Ready, Reserved, InProgress, Completed","2020-09-03 09:29:00, 2020-09-05 16:19:25, 2020-09-14 09:15:52, 2020-09-16 12:32:55, 2020-09-16 12:38:58"
535420,"Created, Ready, Reserved, Exited","2021-04-16 14:21:00, 2021-04-19 10:43:50, 2021-05-04 13:29:03, 2021-05-17 07:52:49"
425471,"Created, Ready, Reserved, InProgress, Completed","2021-03-07 12:28:00, 2021-03-08 09:45:57, 2021-03-09 10:02:19, 2021-03-11 10:55:05, 2021-09-23 13:29:14"
701694,"Created, Ready, Reserved, Exited","2021-08-19 17:30:00, 2021-08-20 16:17:58, 2021-09-02 11:17:40, 2021-09-22 14:23:11"
723492,"Created, Ready, Reserved, Ready, Reserved, InProgress, Completed","2021-11-07 10:14:00, 2021-11-08 07:38:27, 2021-11-28 22:39:43, 2021-11-28 22:40:43, 2021-11-29 14:30:00, 2021-12-08 15:29:31, 2022-01-14 12:00:10"
944152,"Created, Ready, Reserved, Completed","2020-01-15 00:23:00, 2020-01-15 13:46:56, 2020-01-28 08:38:26, 2020-01-28 08:39:12"
151961,"Created, Ready, Reserved, InProgress, Completed","2020-08-17 15:33:00, 2020-08-18 18:09:53, 2020-09-02 14:43:27, 2020-09-03 10:59:56, 2021-05-07 14:44:28"
915461,"Created, Ready, Reserved, InProgress, Completed","2020-03-10 13:01:00, 2020-03-11 07:42:49, 2020-03-20 14:17:47, 2020-05-07 09:09:15, 2020-11-11 08:40:11"
269511,"Created, Ready, Reserved, InProgress, Completed","2020-12-02 09:17:00, 2020-12-04 17:02:17, 2020-12-15 08:40:41, 2021-01-26 15:43:43, 2021-02-10 10:20:00"
958503,"Created, Ready, Reserved, InProgress, Completed","2020-01-15 15:28:00, 2020-01-17 19:16:56, 2020-01-26 10:28:32, 2020-03-02 07:35:53, 2020-04-29 16:09:26"
281249,"Created, Ready, Reserved, InProgress, Completed","2020-11-19 09:13:00, 2020-11-20 10:17:18, 2020-12-01 09:10:25, 2020-12-01 09:13:19, 2020-12-29 13:40:49"
130887,"Created, Ready, Reserved, InProgress, Completed","2020-08-10 10:52:00, 2020-08-11 07:37:18, 2020-08-21 08:15:51, 2020-08-21 10:00:06, 2020-10-09 15:26:04"
276720,"Created, Ready, Reserved, InProgress, Completed","2021-02-24 14:36:00, 2021-02-25 15:47:14, 2021-03-17 09:02:14, 2021-04-01 11:26:39, 2021-04-13 12:58:15"
275958,"Created, Ready, Reserved, InProgress, Completed","2020-11-03 18:57:00, 2020-11-05 08:28:27, 2020-11-05 08:38:02, 2020-11-09 15:17:35, 2021-05-14 11:36:22"
961504,"Created, Ready, Reserved, InProgress, Completed","2020-06-08 07:42:00, 2020-06-09 08:23:19, 2020-06-23 09:11:17, 2020-07-13 12:09:15, 2020-07-14 09:42:04"
412176,"Created, Ready, Reserved, InProgress, Exited","2021-03-11 09:16:00, 2021-03-12 17:46:31, 2021-03-30 13:20:52, 2021-04-05 09:27:33, 2021-06-21 11:30:56"
911421,"Created, Ready, Reserved, InProgress, Completed","2020-01-27 15:21:00, 2020-01-28 16:56:05, 2020-01-29 07:52:51, 2020-02-13 08:57:00, 2020-08-27 11:14:09"
81496,"Created, Ready, Reserved, InProgress, Completed","2020-09-02 11:17:00, 2020-09-02 23:16:58, 2020-09-15 09:31:59, 2020-09-17 11:07:31, 2020-10-05 13:41:31"
543232,"Created, Ready, Reserved, InProgress, Completed","2021-06-08 21:15:00, 2021-06-10 08:41:36, 2021-06-22 06:01:00, 2021-08-03 15:05:16, 2021-11-11 06:33:10"
96302,"Created, Ready, Reserved, Exited","2020-08-24 17:51:00, 2020-08-25 08:43:42, 2020-09-08 10:42:07, 2020-09-22 09:01:47"
910886,"Created, Ready, Reserved, InProgress, Completed","2020-03-10 12:41:00, 2020-03-11 08:10:32, 2020-03-11 08:15:25, 2020-03-13 09:23:14, 2020-08-21 14:28:55"
105443,"Created, Ready, Reserved, InProgress, Completed","2020-07-13 18:13:00, 2020-07-14 07:46:40, 2020-07-23 15:05:15, 2020-08-03 13:18:57, 2020-08-07 10:51:18"
794385,"Created, Ready, Reserved, InProgress, Completed","2021-10-01 15:14:00, 2021-10-04 06:56:07, 2021-10-14 08:55:29, 2021-10-14 12:16:11, 2022-01-10 09:04:43"
932440,"Created, Ready, Reserved, InProgress, Exited","2020-01-31 10:32:00, 2020-02-02 14:11:44, 2020-02-12 12:22:23, 2020-02-14 08:25:18, 2020-02-14 11:23:50"
550111,"Created, Ready, Reserved, InProgress, Completed","2021-04-06 15:34:00, 2021-04-07 22:31:55, 2021-04-12 13:13:44, 2021-04-15 14:43:24, 2021-08-25 07:33:35"
551110,"Created, Ready, Reserved, InProgress, Completed","2021-04-27 12:36:00, 2021-04-28 11:38:24, 2021-04-28 13:58:01, 2021-05-06 13:26:58, 2021-11-09 11:13:42"
132674,"Created, Ready, Reserved, Exited","2020-09-25 14:03:00, 2020-09-27 20:56:00, 2020-10-09 14:15:52, 2020-10-14 11:29:37"
143681,"Created, Ready, Reserved, InProgress, Completed","2020-08-27 19:01:00, 2020-08-28 09:21:05, 2020-08-31 11:45:21, 2020-09-03 16:07:50, 2021-03-11 17:02:46"
918533,"Created, Ready, Reserved, InProgress, Completed","2020-01-28 08:42:00, 2020-01-29 08:40:26, 2020-02-10 11:37:47, 2020-06-03 10:54:16, 2020-09-02 11:43:39"
273288,"Created, Ready, Reserved, Exited, Ready, Reserved, InProgress, Completed","2020-10-22 15:37:00, 2020-10-23 17:04:32, 2020-11-18 07:03:52, 2020-12-18 14:43:10, 2020-12-18 14:44:51, 2020-12-18 14:45:10, 2021-03-19 11:26:00, 2021-03-22 14:11:10"
407027,"Created, Ready, Reserved, InProgress, Completed","2021-01-26 14:38:00, 2021-01-27 14:04:07, 2021-01-28 14:40:12, 2021-01-28 15:43:31, 2021-08-06 15:38:03"
953848,"Created, Ready, Reserved, InProgress, Completed","2020-02-15 09:35:00, 2020-02-18 08:13:56, 2020-02-18 12:13:43, 2020-03-26 16:01:44, 2020-10-06 12:53:02"
693602,"Created, Ready, Reserved, InProgress, Completed","2021-10-29 11:26:00, 2021-11-01 10:25:31, 2021-11-10 14:52:53, 2021-11-15 19:51:38, 2021-11-16 18:10:55"
278020,"Created, Ready, Reserved, InProgress, Completed","2020-10-22 08:16:00, 2020-10-23 08:07:18, 2020-11-02 14:27:33, 2020-11-27 07:46:23, 2021-06-25 07:47:57"
304408,"Created, Ready, Reserved, InProgress, Completed","2021-01-14 18:10:00, 2021-01-15 09:28:31, 2021-01-25 14:42:59, 2021-01-27 09:31:18, 2021-02-05 10:45:10"
686930,"Created, Ready, Error, Ready, Reserved, InProgress, Completed","2021-10-27 08:44:00, 2021-10-28 08:27:40, 2021-10-28 13:20:05, 2021-10-28 13:20:26, 2021-11-10 12:50:33, 2021-12-27 07:41:28, 2021-12-27 07:44:38"
402972,"Created, Ready, Reserved, InProgress, Exited","2021-02-09 15:06:00, 2021-02-10 14:10:39, 2021-02-25 08:52:40, 2021-03-25 08:46:58, 2022-01-12 14:38:33"
717350,"Created, Ready, Reserved, InProgress, Completed","2021-09-28 14:14:00, 2021-10-01 13:06:37, 2021-10-12 11:39:00, 2021-10-14 14:51:10, 2021-12-15 09:29:35"
656412,"Created, Ready, Reserved, Ready, Reserved, InProgress, Completed","2021-09-14 09:08:00, 2021-09-15 07:40:24, 2021-10-14 09:41:44, 2021-10-14 09:41:52, 2021-10-14 09:49:37, 2021-10-19 14:55:08, 2022-01-27 12:03:08"
578879,"Created, Ready, Reserved, InProgress, Completed","2021-07-30 14:33:00, 2021-08-01 18:51:32, 2021-08-10 13:33:44, 2021-08-12 14:41:02, 2021-09-01 09:16:42"
143798,"Created, Ready, Reserved, InProgress, Completed","2020-09-21 07:13:00, 2020-09-22 07:55:04, 2020-09-22 08:05:11, 2020-09-24 07:27:35, 2021-03-18 10:09:41"
917861,"Created, Ready, Reserved, InProgress, Completed","2020-03-06 10:41:00, 2020-03-08 10:54:25, 2020-03-19 12:00:21, 2020-03-19 13:59:52, 2020-05-20 09:33:37"
400472,"Created, Ready, Reserved, InProgress, Completed","2021-03-23 12:12:00, 2021-03-25 10:40:41, 2021-03-26 15:26:37, 2021-05-04 11:05:12, 2021-10-29 14:28:57"
